condition,top1_accuracy,macro_f1,accuracy_drop,macro_f1_drop
Clean,0.8052,0.6722252902990121,0.0,0.0
Rotation +10 degrees,0.788,0.6442435573542331,0.017199999999999993,0.027981732944779014
Gaussian blur,0.806,0.6728572324143358,-0.0008000000000000229,-0.0006319421153236915
Thickened strokes,0.4358,0.29583368971669133,0.3694,0.3763916005823208
Partial erasure,0.6758,0.5310634450091515,0.12940000000000007,0.14116184528986064
