model,frequency_group,number_of_classes,number_of_test_samples,top1_accuracy,macro_precision,macro_recall,macro_f1
Custom CNN,Low frequency,123,1209,0.6459884201819686,0.7878142124165454,0.6144524626231944,0.6637359584630811
Custom CNN,Medium frequency,123,2990,0.6806020066889632,0.8465401329858401,0.6791320927747384,0.7192666525973541
Custom CNN,High frequency,123,12793,0.8572656921754084,0.8831591787339699,0.826914340444796,0.8400010309358064
EfficientNetV2-S,Low frequency,123,1209,0.6046319272125724,0.7956006843201966,0.5813475368353416,0.6519705050103246
EfficientNetV2-S,Medium frequency,123,2990,0.6424749163879598,0.8533002758113695,0.6409002685904709,0.7018359944401311
EfficientNetV2-S,High frequency,123,12793,0.8334245290393184,0.8610771906318833,0.8096291446789371,0.828397531274597
ConvNeXt-Tiny,Low frequency,123,1209,0.6013234077750207,0.8109351917278748,0.5820818522038034,0.6498705979701787
ConvNeXt-Tiny,Medium frequency,123,2990,0.631438127090301,0.8658715176794362,0.627400146947404,0.6921349442570728
ConvNeXt-Tiny,High frequency,123,12793,0.8159149534901899,0.8585116775449394,0.7879757535097228,0.8150008285177454
