model,single_symbol_latency_ms,batch_128_latency_ms,throughput_symbols_per_second,parameters,checkpoint_size_mb
Custom CNN,3.0361791199993604,17.087226460007514,7490.975805791697,1333841,15.323760032653809
EfficientNetV2-S,22.801662299998497,54.34007914000176,2355.5357670757317,20650177,79.654128074646
ConvNeXt-Tiny,7.450230960002955,36.17139351000333,3538.7080114732416,28103889,107.28427791595459
