model,test_loss,top1_accuracy,top5_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,balanced_accuracy,total_inference_seconds,latency_ms_per_symbol,parameters,estimated_fp32_mb,best_validation_macro_f1,best_epoch
Custom CNN,1.636275228133983,0.8111464218455744,0.9814030131826742,0.7104447834379485,0.7068329652809094,0.6859330354568509,0.8085671704784136,0.8111464218455744,0.7948772440897931,0.7068329652809094,33.444232408999596,1.9682340165371701,1333841,5.09,0.6815,6
EfficientNetV2-S,1.7498821579130357,0.783545197740113,0.9675141242937854,0.6825761936003605,0.6772923167015831,0.6650144566951832,0.7767757131274299,0.783545197740113,0.7727101797188879,0.6772923167015831,15.703791650999847,0.9241873617584656,20650177,78.77,0.6444,5
ConvNeXt-Tiny,1.8365100404412509,0.7681850282485876,0.9620998116760828,0.662163062377363,0.6658192508869767,0.6474099146684846,0.7690836642190547,0.7681850282485876,0.7604074114138331,0.6658192508869767,21.119561364999754,1.2429120389006447,28103889,107.21,0.6366,5
