stage,epoch,learning_rate,train_loss,train_top1_accuracy,train_time_seconds,validation_loss,validation_top1_accuracy,validation_top5_accuracy,validation_macro_f1,validation_weighted_f1,validation_balanced_accuracy,validation_time_seconds
classifier_head,1,0.0003,3.1870336207779077,0.572636574686297,143.5416714309995,2.625547718647098,0.6357685950413223,0.8844297520661157,0.4259209103909153,0.6143750089767243,0.4440515273926816,18.982151868000074
classifier_head,2,0.0003,2.2395927237141557,0.7022466131828734,141.70683047300008,2.315967764578575,0.684892561983471,0.9157685950413224,0.5192446811692827,0.6769335871417986,0.5350725150399286,13.111911412999689
classifier_head,3,0.0003,2.0519502579880355,0.7329483675688383,139.64411428400035,2.185308773513668,0.704198347107438,0.9295206611570248,0.5492700418989788,0.6958414931824081,0.5722380692814084,13.063210174999767
partial_fine_tuning,4,0.0001,1.913503429818845,0.7543712715624908,151.80211648500062,1.9305182029156644,0.7408264462809917,0.9485619834710743,0.6030038295795244,0.7353079827694212,0.623420555371426,13.191331291000097
partial_fine_tuning,5,0.0001,1.782846226981281,0.7812086749537159,140.80337951599995,1.8311708474750361,0.7632396694214876,0.9570247933884297,0.6366451571658043,0.7558223401559637,0.6593111343899404,12.975651517000188
