stage,epoch,learning_rate,train_loss,train_top1_accuracy,train_time_seconds,validation_loss,validation_top1_accuracy,validation_top5_accuracy,validation_macro_f1,validation_weighted_f1,validation_balanced_accuracy,validation_time_seconds
classifier_head,1,0.0003,3.9808969884360303,0.47082635399218314,163.7387518230007,3.308479275664022,0.5603305785123966,0.8173884297520662,0.2971556676268907,0.5099241733313866,0.3066338796228145,16.318886761999238
classifier_head,2,0.0003,2.834256183180122,0.6268329953862881,143.96545429100024,2.82804451619298,0.6226115702479339,0.8676363636363637,0.3970303854667316,0.5934779370690443,0.4027828521608822,13.918464910000694
classifier_head,3,0.0003,2.5299570452908076,0.6663066795968144,143.164055878,2.6277474304388377,0.650710743801653,0.8841652892561983,0.44720378424068796,0.6278391357986072,0.45760177378565203,13.325140792000639
partial_fine_tuning,4,0.0001,2.528027122673502,0.628390490464016,152.23242479100008,1.9875882012548525,0.7352727272727273,0.9404297520661157,0.5820537686626798,0.7237381937547482,0.6002029539447458,13.513952727999822
partial_fine_tuning,5,0.0001,1.8667217176195743,0.7623497604983984,151.04205635899962,1.7543095021208455,0.7781157024793388,0.9605289256198347,0.6443514609921278,0.7668979983078311,0.6594888374480044,13.603047146999415
