,precision,recall,f1-score,support
\ominus,0.42857142857142855,0.5454545454545454,0.48,11.0
\star,0.6578947368421053,0.9259259259259259,0.7692307692307693,27.0
\wr,1.0,1.0,1.0,6.0
\barwedge,0.7333333333333333,1.0,0.8461538461538461,11.0
\circledcirc,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0
\boxdot,1.0,1.0,1.0,13.0
\ltimes,0.8214285714285714,1.0,0.9019607843137255,23.0
\boxplus,0.9166666666666666,1.0,0.9565217391304348,11.0
\boxtimes,0.9166666666666666,1.0,0.9565217391304348,22.0
\rtimes,0.9583333333333334,0.8518518518518519,0.9019607843137255,27.0
\circledast,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
\lhd,1.0,0.09090909090909091,0.16666666666666666,11.0
\prod,0.507177033492823,0.9464285714285714,0.660436137071651,112.0
\coprod,0.7,0.4117647058823529,0.5185185185185185,17.0
\oint,0.92,0.9663865546218487,0.9426229508196722,119.0
\parr,0.5833333333333334,0.7,0.6363636363636364,10.0
\with,0.0,0.0,0.0,21.0
\fint,0.8181818181818182,0.9,0.8571428571428571,30.0
\varoiint,0.5555555555555556,0.3333333333333333,0.4166666666666667,15.0
\oiint,0.6363636363636364,0.875,0.7368421052631579,32.0
\approx,0.9806763285024155,0.9902439024390244,0.9854368932038835,205.0
\equiv,0.9841897233201581,0.9880952380952381,0.9861386138613861,252.0
\not\equiv,0.9736842105263158,0.9487179487179487,0.961038961038961,39.0
\perp,0.6035502958579881,0.918918918918919,0.7285714285714285,111.0
\asymp,1.0,0.6666666666666666,0.8,15.0
\frown,1.0,0.7777777777777778,0.875,9.0
\prec,0.9285714285714286,0.9811320754716981,0.9541284403669725,53.0
\succ,0.9459459459459459,0.9459459459459459,0.9459459459459459,37.0
\bowtie,0.47058823529411764,0.3333333333333333,0.3902439024390244,24.0
\preceq,0.9565217391304348,0.7857142857142857,0.8627450980392157,28.0
\succeq,0.9444444444444444,0.8095238095238095,0.8717948717948718,21.0
\mid,0.3333333333333333,0.9705882352941176,0.49624060150375937,34.0
