model,true_index,true_symbol_id,true_latex,predicted_index,predicted_symbol_id,predicted_latex,confusion_count,true_class_test_count,confusion_rate_within_true_class
ConvNeXt-Tiny,199,650,\vDash,185,617,\models,24,46,0.5217391304347826
ConvNeXt-Tiny,352,1177,\checked,126,268,\checkmark,24,28,0.8571428571428571
ConvNeXt-Tiny,347,1115,\astrosun,147,534,\odot,24,30,0.8
ConvNeXt-Tiny,291,959,\triangle,71,152,\Delta,24,32,0.75
ConvNeXt-Tiny,71,152,\Delta,291,959,\triangle,23,100,0.23
ConvNeXt-Tiny,163,574,\prod,87,168,\Pi,22,112,0.19642857142857142
ConvNeXt-Tiny,245,823,\shortrightarrow,26,59,\rightarrow,20,28,0.7142857142857143
ConvNeXt-Tiny,298,974,\varnothing,285,950,\emptyset,20,47,0.425531914893617
ConvNeXt-Tiny,185,617,\models,199,650,\vDash,20,48,0.4166666666666667
ConvNeXt-Tiny,223,762,\Longrightarrow,217,753,\Rightarrow,20,27,0.7407407407407407
ConvNeXt-Tiny,188,621,\parallel,271,921,\|,20,36,0.5555555555555556
ConvNeXt-Tiny,295,971,\triangledown,286,951,\nabla,19,20,0.95
ConvNeXt-Tiny,226,765,\longrightarrow,26,59,\rightarrow,19,25,0.76
ConvNeXt-Tiny,343,1102,\degree,150,537,\circ,19,68,0.27941176470588236
ConvNeXt-Tiny,360,1369,\ss,39,87,\beta,18,24,0.75
ConvNeXt-Tiny,77,158,\varepsilon,305,997,\mathcal{E},17,75,0.22666666666666666
ConvNeXt-Tiny,102,185,\leq,211,728,\leqslant,17,106,0.16037735849056603
